bookTitle,authorName,average_rating,num_ratings
All the Light We Cannot See,Anthony Doerr,4.32,"1,671,291"
Sophie’s Choice,William Styron,4.17,"91,148"
The Graveyard Book,Neil Gaiman,4.16,"539,868"
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,"911,796"
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,"453,325"
Middlemarch,George Eliot,4.02,"163,364"
The Monster at the End of this Book,Jon Stone,4.46,"125,096"
The Prince of Tides,Pat Conroy,4.25,"208,724"
Stardust,Neil Gaiman,4.10,"455,314"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.73,"372,991"
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97,"540,786"
Eleanor & Park,Rainbow Rowell,3.94,"1,173,686"
Number the Stars,Lois Lowry,4.19,"569,245"
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.11,"801,876"
Black Beauty,Anna Sewell,3.99,"279,107"
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.80,"984,141"
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,"542,832"
V for Vendetta,Alan Moore,4.26,"309,221"
Franny and Zooey,J.D. Salinger,3.96,"222,673"
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.31,"602,942"
The Art of Racing in the Rain,Garth Stein,4.23,"521,188"
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.05,"1,227,195"
The Witches,Roald Dahl,4.18,"396,765"
"The Gunslinger (The Dark Tower, #1)",Stephen King,3.92,"612,199"
A Short History of Nearly Everything,Bill Bryson,4.21,"387,021"
American Psycho,Bret Easton Ellis,3.81,"315,173"
"Allegiant (Divergent, #3)",Veronica Roth,3.60,"1,055,434"
White Fang,Jack London,4.02,"190,336"
Beowulf,Unknown,3.48,"311,838"
Love You Forever,Robert Munsch,4.37,"237,445"
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35,"89,075"
"If I Stay (If I Stay, #1)",Gayle Forman,3.92,"908,161"
The Complete Novels,Jane Austen,4.57,"33,342"
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.74,"288,105"
Gulliver’s Travels,Jonathan Swift,3.58,"274,561"
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,"532,821"
A Portrait of the Artist as a Young Man,James Joyce,3.64,"152,230"
War and Peace,Leo Tolstoy,4.16,"329,005"
Tuck Everlasting,Natalie Babbitt,3.90,"274,799"
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,"857,729"
Bel Canto,Ann Patchett,3.93,"284,183"
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,"435,100"
القرآن الكريم,Anonymous,4.39,"68,175"
11/22/63,Stephen King,4.33,"542,649"
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.16,"3,361,112"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,"582,828"
Go Ask Alice,Beatrice Sparks,3.74,"275,872"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,"240,182"
The Martian Chronicles,Ray Bradbury,4.15,"262,670"
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,"416,180"
Cold Mountain,Charles Frazier,3.88,"242,948"
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.16,"336,832"
As I Lay Dying,William Faulkner,3.72,"168,827"
Mansfield Park,Jane Austen,3.86,"350,555"
Cloud Atlas,David Mitchell,4.01,"249,218"
The Hunchback of Notre-Dame,Victor Hugo,4.02,"201,518"
Steppenwolf,Hermann Hesse,4.13,"186,111"
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.03,"446,035"
Inferno,Dante Alighieri,4.02,"182,788"
Tao Te Ching,Lao Tzu,4.30,"158,045"
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,"600,121"
A Separate Peace,John Knowles,3.59,"219,186"
The Grapes of Wrath,John Steinbeck,4.01,"908,458"
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.09,"375,861"
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.47,"479,757"
